FUND CODE,FUND NAME,SUBFUND CCY,NAV DATE,ACC NUMBER,INTERNAL NUMBER,ISIN CODE,INSTRUMENT NAME,CURRENCY,QUANTITY,MARKET VALUE IN FD CCY,MARKET VALUE IN SEC CCY,TNA,% NAV,%PORTFOLIO,ID BLOOMBERG,NEXT COUPON DATE,VALUATION PRICE,MARKET PRICE,LAST COUPON DATE,ACCRUED INT FD CCY,ACCRUED INT.,NUMBER OF ACCRUED DAYS,INVESTMENT TYPE,GEOGRAPHICAL SECTOR,ECONOMIC SECTOR CODE,ECONOMIC SECTOR LABEL
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151229,268100  00,,,Directors Fees,EUR,0.00,-422.46,-422.46,25276346.17,            -0.00,-0.001671,,99991231,100.000000,-0.001671365,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151229,268120  00,,,Audit Fees,EUR,0.00,-7797.47,-7797.47,25276346.17,            -0.03,-0.030849,,99991231,100.000000,-0.030848881,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151229,144120  00,,,C.B. Call Deposits RBC IS Bank Luxbg,EUR,0.00,1054641.61,1054641.61,25276346.17,             4.17,4.172445,,99991231,100.000000,4.172444874,99991231,             0.00,0.00,,,,,450 CASH
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151229,152001  00,,,Int.Rec.Bank Accounts,EUR,0.00,-289.59,-289.59,25276346.17,            -0.00,-0.001146,,99991231,100.000000,-0.001145696,99991231,             0.00,0.00,,,,,600 RECEIVABLES
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151228,264176  00,,,Performance Fee,EUR,0.00,-1009.91,-1009.91,43731775.16,            -0.00,-0.002309,,99991231,100.000000,-0.002309328,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151228,268204  00,,,Marketing Expenses,EUR,0.00,-144.98,-144.98,43731775.16,            -0.00,-0.000332,,99991231,100.000000,-0.000331521,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151228,120145  00,,,Amort. Formation expenses,EUR,0.00,-747.71,-747.71,43731775.16,            -0.00,-0.001710,,99991231,100.000000,-0.001709764,99991231,             0.00,0.00,,,,,650 PREPAID EXP.
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151228,264175  00,,,Performance Fee,EUR,0.00,-432.82,-432.82,43731775.16,            -0.00,-0.000990,,99991231,100.000000,-0.000989715,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151228,264136  00,,,Transfer Agency Fee,EUR,0.00,-68.86,-68.86,43731775.16,            -0.00,-0.000157,,99991231,100.000000,-0.000157460,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151228,264156  00,,,Domiciliary Agency Fee,EUR,0.00,-218.71,-218.71,43731775.16,            -0.00,-0.000500,,99991231,100.000000,-0.000500117,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151228,267100  00,,,Subscription tax,EUR,0.00,-485.68,-485.68,43731775.16,            -0.00,-0.001111,,99991231,100.000000,-0.001110588,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151228,264155  00,,,Domiciliary Agency Fee,EUR,0.00,-508.70,-508.70,43731775.16,            -0.00,-0.001163,,99991231,100.000000,-0.001163227,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151228,264293  00,,,Managment Fee I,EUR,0.00,-26631.82,-26631.82,43731775.16,            -0.06,-0.060898,,99991231,100.000000,-0.060898100,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
